,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
1,380348,6,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380349,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380360,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380377,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380377,3,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,380377,110,5,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380384,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380384,146,5,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
2,380384,680,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380385,1,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
0,380399,1,7,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
1,380399,3,9,32.0,HLT_PFJet320_v28/32,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
